종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(퍼센트),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(퍼센트),자격취득자현황(명)
와전류비파괴검사,2016(누적),전체,2761,1839,948,51.5,1394,1194,538,45.1,634
와전류비파괴검사,2017,전체,279,194,87,44.8,118,104,62,59.6,62
와전류비파괴검사,2017,여자,9,8,2,25,3,3,3,100,3
와전류비파괴검사,2018,전체,294,215,132,61.4,164,147,89,60.5,89
와전류비파괴검사,2018,여자,8,6,3,50,3,3,2,66.7,2
와전류비파괴검사,2019,전체,278,226,95,42,129,111,81,73,81
와전류비파괴검사,2019,여자,8,6,3,50,4,3,1,33.3,1
와전류비파괴검사,2020,전체,165,138,103,74.6,111,102,50,49,50
와전류비파괴검사,2020,여자,3,2,1,50,1,1,1,100,1
와전류비파괴검사,2021,전체,247,187,101,54,131,116,62,53.4,62
와전류비파괴검사,2021,여자,6,6,3,50,3,2,0,0,0
비파괴검사1급(전자기침투),전체,전체,0,0,0,0,0,0,0,0,4
비파괴검사1급(전자기침투),2016(누적),전체,0,0,0,0,0,0,0,0,4
누설비파괴검사,전체,전체,7622,4735,1704,36,2542,2134,1098,51.5,1141
누설비파괴검사,2016(누적),전체,5453,3316,1194,36,1748,1475,738,50,781
누설비파괴검사,2017,전체,492,319,103,32.3,239,192,83,43.2,83
누설비파괴검사,2017,여자,13,10,1,10,3,1,1,100,1
누설비파괴검사,2018,전체,496,353,119,33.7,189,150,81,54,81
누설비파괴검사,2018,여자,12,10,5,50,3,3,1,33.3,1
누설비파괴검사,2019,전체,435,263,111,42.2,154,132,84,63.6,84
누설비파괴검사,2019,여자,2,1,0,0,3,2,1,50,1
누설비파괴검사,2020,전체,297,201,48,23.9,81,69,52,75.4,52
누설비파괴검사,2020,여자,4,1,0,0,1,0,0,0,0
누설비파괴검사,2021,전체,449,283,129,45.6,131,116,60,51.7,60
누설비파괴검사,2021,여자,11,5,2,40,3,3,2,66.7,2
환경분야,전체,전체,786541,570763,184127,32.3,316932,274209,116795,42.6,123158
환경분야,2016(누적),전체,630083,456857,138289,30.3,245642,211117,82287,39,88650
환경분야,2017,전체,28123,20928,7734,37,11380,10271,6384,62.2,6384
환경분야,2017,여자,10434,8194,3067,37.4,4453,4063,2599,64,2599
환경분야,2018,전체,27184,20112,7367,36.6,10943,9812,6190,63.1,6190
환경분야,2018,여자,10243,7962,3000,37.7,4312,3911,2538,64.9,2538
